full_name,age,birthday_GMT,league,position,Current Club,nationality,gender
Erik Durm,30,5/12/1992,Premier League,Defender,Huddersfield Town,Germany,MALE
Erik Lamela,30,3/4/1992,Premier League,Midfielder,Tottenham Hotspur,Argentina,MALE
Ethan Ampadu,22,9/14/2000,Premier League,Midfielder,Chelsea,Wales,MALE
Étienne Capoue,34,7/11/1988,Premier League,Midfielder,Watford,France,MALE
Fabián Balbuena,31,8/23/1991,Premier League,Defender,West Ham United,Paraguay,MALE
Fabian Delph,32,11/21/1989,Premier League,Midfielder,Manchester City,England,MALE
Fabian Schär,30,12/20/1991,Premier League,Defender,Newcastle United,Switzerland,MALE
Fabinho,29,10/23/1993,Premier League,Midfielder,Liverpool,Brazil,MALE
Fabricio Martín Agosto Ramírez,34,12/31/1987,Premier League,Goalkeeper,Fulham,Spain,MALE
Faustino Marcos Alberto Rojo,32,3/20/1990,Premier League,Defender,Manchester United,Argentina,MALE
Federico Fernández,33,2/21/1989,Premier League,Defender,Newcastle United,Argentina,MALE
Felipe Anderson,29,4/15/1993,Premier League,Midfielder,West Ham United,Brazil,MALE
Fernandinho,37,5/4/1985,Premier League,Midfielder,Manchester City,Brazil,MALE
Fernando Llorente Torres,37,2/26/1985,Premier League,Forward,Tottenham Hotspur,Spain,MALE
Florent Hadergjonaj,28,7/31/1994,Premier League,Defender,Huddersfield Town,Switzerland,MALE
Florian Lejeune,31,5/20/1991,Premier League,Defender,Newcastle United,France,MALE
Florin Andone,29,4/11/1993,Premier League,Forward,Brighton & Hove Albion,Romania,MALE
Floyd Ayité,33,12/15/1988,Premier League,Midfielder,Fulham,Togo,MALE
Fousseni Diabaté,27,10/18/1995,Premier League,Midfielder,Leicester City,Mali,MALE
Fraser Forster,34,3/17/1988,Premier League,Goalkeeper,Southampton,England,MALE
Fred,29,3/5/1993,Premier League,Midfielder,Manchester United,Brazil,MALE
Freddie Woodman,25,3/4/1997,Premier League,Goalkeeper,Newcastle United,England,MALE
Gabriel Jesus,25,4/3/1997,Premier League,Forward,Manchester City,Brazil,MALE
Gaëtan Bong Songo,34,4/25/1988,Premier League,Defender,Brighton & Hove Albion,Cameroon,MALE
Gary Cahill,36,12/19/1985,Premier League,Defender,Chelsea,England,MALE
Gary Madine,32,8/24/1990,Premier League,Forward,Cardiff City,England,MALE
George Marsh,23,11/5/1998,Premier League,Midfielder,Tottenham Hotspur,England,MALE
Georges-Kevin N'Koudou Mbida,27,2/13/1995,Premier League,Forward,Tottenham Hotspur,France,MALE
Georginio Wijnaldum,31,11/11/1990,Premier League,Midfielder,Liverpool,Netherlands,MALE
Gerard Deulofeu,28,3/13/1994,Premier League,Forward,Watford,Spain,MALE
Glenn Murray,39,9/25/1983,Premier League,Forward,Brighton & Hove Albion,England,MALE
Gonzalo Higuain,34,12/10/1987,Premier League,Forward,Chelsea,Argentina,MALE
Grady Diangana,24,4/19/1998,Premier League,Midfielder,West Ham United,England,MALE
Granit Xhaka,30,9/27/1992,Premier League,Midfielder,Arsenal,Switzerland,MALE
Greg Cunningham,31,1/31/1991,Premier League,Defender,Cardiff City,Republic of Ireland,MALE
Gylfi Sigurdsson,33,9/8/1989,Premier League,Midfielder,Everton,Iceland,MALE
Hamza Choudhury,25,10/1/1997,Premier League,Midfielder,Leicester City,England,MALE
Harry Arter,32,12/28/1989,Premier League,Midfielder,Cardiff City,Republic of Ireland,MALE
Harry Kane,29,7/28/1993,Premier League,Forward,Tottenham Hotspur,England,MALE
Harry Maguire,29,3/5/1993,Premier League,Defender,Leicester City,England,MALE
Harry Winks,26,2/2/1996,Premier League,Midfielder,Tottenham Hotspur,England,MALE
Harvey Barnes,24,12/9/1997,Premier League,Midfielder,Leicester City,England,MALE
Håvard Nordtveit,32,6/21/1990,Premier League,Midfielder,Fulham,Norway,MALE
Hector Bellerin,27,3/19/1995,Premier League,Defender,Arsenal,Spain,MALE
Hélder Wander Sousa Azevedo Costa,28,1/12/1994,Premier League,Midfielder,Wolverhampton Wanderers,Portugal,MALE
Henrikh Mkhitaryan,33,1/21/1989,Premier League,Midfielder,Arsenal,Armenia,MALE
Heung-Min Son,30,7/8/1992,Premier League,Forward,Tottenham Hotspur,South Korea,MALE
Heurelho da Silva Gomes,41,2/15/1981,Premier League,Goalkeeper,Watford,Brazil,MALE
Hugo Lloris,35,12/26/1986,Premier League,Goalkeeper,Tottenham Hotspur,France,MALE
Ibrahima Cissé,28,2/28/1994,Premier League,Midfielder,Fulham,Belgium,MALE
Idrissa Gueye,33,9/26/1989,Premier League,Midfielder,Everton,Senegal,MALE
?lkay Gündo?an,32,10/24/1990,Premier League,Midfielder,Manchester City,Germany,MALE
Isaac Hayden,27,3/22/1995,Premier League,Midfielder,Newcastle United,England,MALE
Isaac Mbenza,26,3/8/1996,Premier League,Forward,Huddersfield Town,Belgium,MALE
